* Currently node departure ,arrival and passing time after scheduling
* Node ID, Departure Time (sec), Arrival Time (sec), Passing Time (sec)
N9,0,3622,0
N9,0,8062,0
N9,0,10342,0
N9,0,13342,0
N9,0,13522,0
N9,0,13942,0
N9,0,14182,0
N9,0,14482,0
N9,0,15142,0
N9,0,15322,0
N9,0,15502,0
N9,0,15862,0
N9,0,16102,0
N9,0,16282,0
N9,0,16462,0
N9,0,16642,0
N9,0,16822,0
N9,0,16942,0
N9,0,17122,0
N9,0,17542,0
N9,0,17722,0
N9,0,17902,0
N9,0,18082,0
N9,0,18262,0
N9,0,18825,0
N9,0,18943,0
N9,0,19063,0
N9,0,19183,0
N9,0,19303,0
N9,0,19423,0
N9,0,19543,0
N9,0,19663,0
N9,0,19783,0
N9,0,20205,0
N9,0,20323,0
N9,0,20482,0
N9,0,20662,0
N9,0,20842,0
N9,0,21022,0
N9,0,21142,0
N9,0,21322,0
N9,0,21442,0
N9,0,21622,0
N9,0,21742,0
N9,0,21922,0
N9,0,22042,0
N9,0,22162,0
N9,0,22282,0
N9,0,22402,0
N9,0,22642,0
N9,0,22762,0
N9,0,22942,0
N9,0,23182,0
N9,0,23422,0
N9,0,23662,0
N9,0,23842,0
N9,0,24022,0
N9,0,24295,0
N9,0,24502,0
N9,0,24742,0
N9,0,24922,0
N9,0,25222,0
N9,0,25342,0
N9,0,25582,0
N9,0,25702,0
N9,0,25942,0
N9,0,26122,0
N9,0,26362,0
N9,0,26685,0
N9,0,26803,0
N9,0,26923,0
N9,0,27043,0
N9,0,27202,0
N9,0,27322,0
N9,0,27562,0
N9,0,27682,0
N9,0,27922,0
N9,0,28042,0
N9,0,28162,0
N9,0,28282,0
N9,0,28402,0
N9,0,28522,0
N9,0,28642,0
N9,0,28762,0
N9,0,28942,0
N9,0,29062,0
N9,0,29242,0
N9,0,29362,0
N9,0,29482,0
N9,0,29662,0
N9,0,29782,0
N9,0,29962,0
N9,0,30262,0
N9,0,30382,0
N9,0,30682,0
N9,0,30862,0
N9,0,31042,0
N9,0,31162,0
N9,0,31342,0
N9,0,31762,0
N9,0,31942,0
N9,0,32182,0
N9,0,32768,0
N9,0,33068,0
N9,0,33742,0
N9,0,33862,0
N9,0,34102,0
N9,0,34282,0
N9,0,34822,0
N9,0,35422,0
N9,0,36308,0
N9,0,36427,0
N9,0,36562,0
N9,0,36922,0
N9,0,37342,0
N9,0,37522,0
N9,0,37642,0
N9,0,37882,0
N9,0,38062,0
N9,0,38362,0
N9,0,38542,0
N9,0,38782,0
N9,0,38962,0
N9,0,39202,0
N9,0,39322,0
N9,0,39502,0
N9,0,40162,0
N9,0,40282,0
N9,0,40402,0
N9,0,40582,0
N9,0,41122,0
N9,0,41414,0
N9,0,41782,0
N9,0,42074,0
N9,0,42193,0
N9,0,42494,0
N9,0,42613,0
N9,0,43042,0
N9,0,44145,0
N9,0,44902,0
N9,0,45082,0
N9,0,45262,0
N9,0,45382,0
N9,0,45802,0
N9,0,45982,0
N9,0,47468,0
N9,0,47602,0
N9,0,47782,0
N9,0,47962,0
N9,0,48322,0
N9,0,48442,0
N9,0,48622,0
N9,0,48802,0
N9,0,48922,0
N9,0,49042,0
N9,0,49328,0
N9,0,49447,0
N9,0,49567,0
N9,0,49687,0
N9,0,49807,0
N9,0,49927,0
N9,0,50047,0
N9,0,50167,0
N9,0,50287,0
N9,0,50482,0
N9,0,50602,0
N9,0,50722,0
N9,0,50902,0
N9,0,51022,0
N9,0,51442,0
N9,0,51799,0
N9,0,51917,0
N9,0,52037,0
N9,0,52157,0
N9,0,52277,0
N9,0,52397,0
N9,0,52517,0
N9,0,54082,0
N9,0,54262,0
N9,0,54442,0
N9,0,54562,0
N9,0,54742,0
N9,0,55282,0
N9,0,55642,0
N9,0,55942,0
N9,0,56362,0
N9,0,56542,0
N9,0,57082,0
N9,0,57262,0
N9,0,57562,0
N9,0,57862,0
N9,0,58222,0
N9,0,58342,0
N9,0,58462,0
N9,0,58642,0
N9,0,58822,0
N9,0,59122,0
N9,0,59362,0
N9,0,59482,0
N9,0,59722,0
N9,0,59962,0
N9,0,60502,0
N9,0,60742,0
N9,0,60922,0
N9,0,61162,0
N9,0,61282,0
N9,0,61402,0
N9,0,61642,0
N9,0,61762,0
N9,0,61942,0
N9,0,62122,0
N9,0,62362,0
N9,0,62542,0
N9,0,62662,0
N9,0,62962,0
N9,0,63202,0
N9,0,63502,0
N9,0,63922,0
N9,0,64042,0
N9,0,64582,0
N9,0,64702,0
N9,0,65625,0
N9,0,65842,0
N9,0,65962,0
N9,0,66202,0
N9,0,66622,0
N9,0,66802,0
N9,0,66982,0
N9,0,67162,0
N9,0,67402,0
N9,0,67522,0
N9,0,67642,0
N9,0,67822,0
N9,0,68002,0
N9,0,68122,0
N9,0,68242,0
N9,0,68422,0
N9,0,68542,0
N9,0,68842,0
N9,0,69022,0
N9,0,69262,0
N9,0,69442,0
N9,0,69562,0
N9,0,69682,0
N9,0,69802,0
N9,0,69922,0
N9,0,70042,0
N9,0,70222,0
N9,0,70402,0
N9,0,70522,0
N9,0,70642,0
N9,0,70762,0
N9,0,70942,0
N9,0,71062,0
N9,0,71182,0
N9,0,71302,0
N9,0,71482,0
N9,0,71602,0
N9,0,71722,0
N9,0,71902,0
N9,0,72022,0
N9,0,72262,0
N9,0,72502,0
N9,0,72622,0
N9,0,72742,0
N9,0,72862,0
N9,0,72982,0
N9,0,73102,0
N9,0,73222,0
N9,0,73402,0
N9,0,73642,0
N9,0,73762,0
N9,0,73882,0
N9,0,74062,0
N9,0,74242,0
N9,0,74362,0
N9,0,74542,0
N9,0,74662,0
N9,0,74782,0
N9,0,74962,0
N9,0,75082,0
N9,0,75202,0
N9,0,75382,0
N9,0,75562,0
N9,0,75682,0
N9,0,75982,0
N9,0,77062,0
N9,0,77362,0
N9,0,77542,0
N9,0,77722,0
N9,0,77962,0
N9,0,78082,0
N9,0,80062,0
N9,0,80408,0
N9,0,80542,0
N9,0,81202,0
N9,0,81775,0
N9,0,83685,0
N9,0,83948,0
N9,0,85688,0
N9,0,86302,0
N10,0,796,0
N10,0,1756,0
N10,0,2476,0
N10,0,3016,0
N10,0,3616,0
N10,0,8056,0
N10,0,10336,0
N10,0,13336,0
N10,0,13516,0
N10,0,13936,0
N10,0,14176,0
N10,0,14476,0
N10,0,15136,0
N10,0,15316,0
N10,0,15496,0
N10,0,15856,0
N10,0,16096,0
N10,0,16276,0
N10,0,16456,0
N10,0,16636,0
N10,0,16816,0
N10,0,16936,0
N10,0,17116,0
N10,0,17536,0
N10,0,17716,0
N10,0,17896,0
N10,0,18076,0
